Income,Age,Churn
91519.46,48.59,0
53347.12,44.32,0
104050.86,36.54,0
218966.76,30.18,1
49171.5,42.28,0
49172.19,39.54,1
229677.34,44.06,1
115199.35,41.72,1
40257.3,45.45,1
95156.28,31.18,1
40465.09,47.86,1
40385.64,37.78,0
73700.71,54.68,1
15000.0,29.8,1
15000.0,51.62,1
37203.4,37.78,0
25366.72,30.14,0
78371.07,31.65,0
27730.26,33.12,1
18063.38,39.82,1
208543.16,40.71,0
49522.88,30.84,1
63544.7,35.78,1
17873.31,55.28,1
37773.93,51.55,0
65932.32,39.93,1
22555.98,36.34,1
82573.42,37.08,1
36010.18,41.52,1
46824.42,26.79,0
35977.51,33.68,1
289681.2,20.98,0
59315.58,39.59,1
24417.26,41.82,1
120724.1,31.65,0
21255.75,50.17,1
71656.12,24.97,0
15000.0,22.82,0
19402.2,38.02,1
70928.8,45.42,0
112397.44,51.16,1
69408.38,31.87,1
54382.56,45.71,1
46451.39,35.65,1
17074.75,34.45,0
32540.22,43.95,1
40560.78,41.87,1
147362.93,21.81,0
80352.25,49.29,1
15000.0,48.42,1
79029.08,30.37,1
43251.18,39.56,0
33749.34,40.45,1
100914.07,38.35,1
144126.9,31.05,0
132413.91,29.96,0
29400.44,35.77,1
46132.33,46.55,1
79512.84,40.89,0
137490.93,32.66,1
39926.75,42.95,1
51240.72,18.0,1
23428.65,46.34,1
21705.57,20.34,1
119700.35,32.74,1
190023.66,25.92,1
56437.62,24.35,0
140801.0,46.45,1
81592.32,31.79,1
34674.09,39.12,1
81575.65,35.58,1
221777.73,40.29,0
58200.41,36.69,1
226850.6,24.45,1
15000.0,44.97,1
120658.19,31.56,0
64607.76,21.99,1
46534.24,32.15,1
64867.14,49.51,1
15000.0,43.65,1
49780.51,32.86,0
81279.21,32.86,1
210725.11,33.11,1
38621.72,54.69,1
30178.36,39.44,0
39167.65,39.87,0
130638.81,45.27,0
79343.22,38.15,1
38246.36,33.67,0
92816.26,34.23,1
65160.96,35.36,1
136686.89,35.66,1
33036.05,42.55,1
45414.51,36.47,0
42993.66,42.59,1
17293.95,35.27,0
77172.78,36.71,1
74906.57,18.02,1
60261.35,44.25,0
49153.37,39.12,1
18016.35,44.98,0
41963.33,18.0,0
44837.16,54.8,0
30338.24,34.74,1
52313.36,45.97,1
84587.61,26.64,1
298151.75,41.51,0
69597.99,26.52,1
74683.74,30.39,1
56320.89,53.23,1
15000.0,34.28,1
58662.92,37.96,0
63151.73,43.83,0
486920.25,40.46,0
50949.64,37.35,1
77529.6,39.28,1
58255.56,57.63,1
22219.45,35.48,0
158498.31,37.81,1
113691.39,45.46,1
117533.3,45.95,1
27698.14,46.68,1
197693.87,41.75,0
18224.58,25.71,1
98807.46,50.7,1
386152.3,25.68,0
25852.02,38.72,0
37076.8,29.21,1
65303.67,35.42,0
39110.47,38.96,1
16059.18,38.89,1
63600.61,39.8,1
24322.12,50.52,1
89738.34,40.08,1
27462.84,33.8,1
224031.98,44.68,1
30832.81,46.71,1
45631.23,24.95,1
119801.26,41.38,1
21075.47,42.31,0
72797.78,33.32,1
182256.66,48.38,1
15302.0,34.65,1
70195.44,37.13,1
74831.95,34.44,0
116616.88,36.14,1
20966.72,26.13,0
19530.09,23.04,1
93503.13,50.35,1
77229.5,28.38,1
74237.06,27.08,0
80545.77,18.0,1
33660.45,30.25,1
73095.02,24.09,0
76973.11,50.78,0
32692.51,45.09,1
293023.53,29.81,0
89756.69,56.27,1
21796.22,44.84,1
104837.88,33.08,1
26202.77,18.0,0
117139.61,56.62,1
160637.59,23.49,1
29867.31,21.19,1
136076.1,45.2,1
85217.63,57.96,1
120674.36,48.46,0
300852.04,41.08,0
48704.17,41.35,0
31616.17,43.68,1
28169.99,42.83,1
29991.25,38.53,1
56193.89,36.94,1
80183.98,35.44,0
75908.73,29.21,0
121201.0,33.47,1
60666.77,20.76,0
206406.71,35.11,1
47912.97,27.1,1
605762.72,26.07,1
102121.35,37.62,1
28955.51,48.53,1
24145.21,44.26,0
90418.25,21.87,0
49620.36,27.09,0
110084.14,44.47,1
89711.28,27.16,0
56398.35,33.98,0
29211.72,40.95,1
16555.6,27.28,1
41050.66,36.95,1
124248.49,23.99,1
71975.39,30.59,1
20810.69,38.88,1
69515.4,21.66,1
83251.35,39.96,1
28305.77,35.82,1
68375.25,40.97,1
63043.31,38.02,1
22710.33,48.28,1
81325.84,37.13,1
96641.8,32.14,1
150646.81,37.1,1
146947.64,40.89,0
18603.05,36.44,1
27036.65,36.37,1
92955.84,29.68,1
92857.18,30.03,1
92956.82,23.38,0
1000000.0,51.75,1
97475.54,24.81,1
157523.61,29.76,1
134996.12,29.53,1
104378.86,44.05,1
45895.44,33.35,0
114373.38,47.23,0
31107.32,29.94,1
49060.23,38.51,1
39717.25,28.48,1
64324.31,55.31,1
429149.07,25.31,1
15000.0,38.79,0
107518.8,41.7,1
15234.1,39.72,0
40173.3,34.33,1
151404.12,34.83,1
63369.49,36.39,1
24004.98,34.68,1
32666.05,44.67,1
106911.63,55.89,1
32250.48,30.98,1
72120.21,23.67,0
62369.77,35.21,0
34483.61,59.22,0
371183.68,28.77,1
102840.14,50.75,1
15000.0,51.1,1
70304.14,31.02,1
34186.34,41.12,0
123830.4,50.66,1
30590.88,32.59,1
54424.73,34.17,1
92165.3,30.76,1
125240.57,26.87,0
21630.25,30.16,1
45151.27,24.98,1
