Title,Year,Runtime,Rating,Votes
The Shawshank Redemption,1994,2h 22m,9.3,(3.2M)
The Godfather,1972,2h 55m,9.2,(2.2M)
The Dark Knight,2008,2h 32m,9.1,(3.2M)
The Godfather Part II,1974,3h 22m,9.0,(1.5M)
12 Angry Men,1957,1h 36m,9.0,(991K)
The Lord of the Rings: The Return of the King,2003,3h 21m,9.0,(2.2M)
Schindler's List,1993,3h 15m,9.0,(1.6M)
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,8.9,(2.2M)
Pulp Fiction,1994,2h 34m,8.8,(2.4M)
"The Good, the Bad and the Ugly",1966,2h 58m,8.8,(894K)
The Lord of the Rings: The Two Towers,2002,2h 59m,8.8,(2M)
Forrest Gump,1994,2h 22m,8.8,(2.5M)
Fight Club,1999,2h 19m,8.8,(2.6M)
Inception,2010,2h 28m,8.8,(2.8M)
Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,8.7,(1.5M)
The Matrix,1999,2h 16m,8.7,(2.3M)
Interstellar,2014,2h 49m,8.7,(2.6M)
GoodFellas,1990,2h 25m,8.7,(1.4M)
One Flew Over the Cuckoo's Nest,1975,2h 13m,8.6,(1.2M)
Seven,1995,2h 7m,8.6,(2M)
It's a Wonderful Life,1946,2h 10m,8.6,(556K)
The Silence of the Lambs,1991,1h 58m,8.6,(1.7M)
Saving Private Ryan,1998,2h 49m,8.6,(1.6M)
Seven Samurai,1954,3h 27m,8.6,(403K)
The Green Mile,1999,3h 9m,8.6,(1.6M)
City of God,2002,2h 10m,8.6,(875K)
Life Is Beautiful,1997,1h 56m,8.6,(816K)
Terminator 2: Judgment Day,1991,2h 17m,8.6,(1.3M)
Back to the Future,1985,1h 56m,8.5,(1.5M)
Star Wars: Episode IV - A New Hope,1977,2h 1m,8.6,(1.6M)
Kill Bill: The Whole Bloody Affair,2004,4h 13m,8.7,(48K)
Spirited Away,2001,2h 4m,8.6,(975K)
Gladiator,2000,2h 35m,8.5,(1.9M)
The Pianist,2002,2h 30m,8.5,(1M)
Parasite,2019,2h 12m,8.5,(1.2M)
Grave of the Fireflies,1988,1h 28m,8.5,(390K)
Psycho,1960,1h 49m,8.5,(789K)
Harakiri,1962,2h 13m,8.6,(92K)
The Lion King,1994,1h 28m,8.5,(1.3M)
The Departed,2006,2h 31m,8.5,(1.6M)
Whiplash,2014,1h 46m,8.5,(1.2M)
The Prestige,2006,2h 10m,8.5,(1.6M)
American History X,1998,1h 59m,8.5,(1.3M)
Léon: The Professional,1994,1h 50m,8.5,(1.4M)
Spider-Man: Across the Spider-Verse,2023,2h 20m,8.5,(534K)
Cinema Paradiso,1988,2h 54m,8.5,(318K)
Casablanca,1942,1h 42m,8.5,(657K)
The Intouchables,2011,1h 52m,8.5,(1M)
The Usual Suspects,1995,1h 46m,8.5,(1.2M)
Django Unchained,2012,2h 45m,8.5,(1.9M)
Alien,1979,1h 57m,8.4,(1.1M)
Rear Window,1954,1h 52m,8.4,(570K)
Modern Times,1936,1h 27m,8.5,(286K)
Once Upon a Time in the West,1968,2h 25m,8.5,(386K)
City Lights,1931,1h 27m,8.5,(217K)
WALL·E,2008,1h 38m,8.4,(1.3M)
Apocalypse Now,1979,2h 27m,8.4,(773K)
Memento,2000,1h 53m,8.4,(1.4M)
Avengers: Infinity War,2018,2h 29m,8.4,(1.4M)
Dune: Part Two,2024,2h 46m,8.4,(773K)
Raiders of the Lost Ark,1981,1h 55m,8.4,(1.1M)
Spider-Man: Into the Spider-Verse,2018,1h 57m,8.4,(798K)
The Lives of Others,2006,2h 17m,8.4,(445K)
Sunset Boulevard,1950,1h 50m,8.4,(262K)
Witness for the Prosecution,1957,1h 56m,8.4,(163K)
Paths of Glory,1957,1h 28m,8.4,(240K)
The Shining,1980,2h 26m,8.4,(1.2M)
The Great Dictator,1940,2h 5m,8.4,(259K)
Inglourious Basterds,2009,2h 33m,8.4,(1.8M)
Aliens,1986,2h 17m,8.4,(843K)
12th Fail,2023,2h 27m,8.7,(174K)
High and Low,1963,2h 23m,8.4,(72K)
Avengers: Endgame,2019,3h 1m,8.4,(1.5M)
Good Will Hunting,1997,2h 6m,8.4,(1.2M)
Coco,2017,1h 45m,8.4,(716K)
The Dark Knight Rises,2012,2h 44m,8.4,(2M)
Toy Story,1995,1h 21m,8.3,(1.2M)
Amadeus,1984,2h 40m,8.4,(470K)
Your Name.,2016,1h 46m,8.4,(398K)
Das Boot,1981,2h 29m,8.3,(289K)
Braveheart,1995,2h 58m,8.3,(1.2M)
Princess Mononoke,1997,2h 13m,8.3,(486K)
Oldboy,2003,2h,8.3,(724K)
3 Idiots,2009,2h 50m,8.4,(485K)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,8.3,(552K)
American Beauty,1999,2h 2m,8.3,(1.3M)
